country_code,country_name,latitude,longitude,region,incomeLevel,capitalCity,abs_latitude,hemisphere,climate_zone,is_landlocked,nearest_megacity,dist_to_megacity_km,dist_from_equator_km,gdp_per_capita,life_expectancy,population,fertility_rate,child_mortality,internet_pct,electricity_pct,literacy_rate,gini_index,urban_pct,forest_pct,renewable_pct,maternal_mortality,education_spending,primary_completion,physicians,poverty_pct,mobile_per100,trade_pct,remittances_pct,water_stress,health_expenditure,birth_rate,death_rate,continent,conflict_intensity,has_conflict,democracy_proxy
ABW,Aruba,12.5167,-70.0167,LCN,HIC,Oranjestad,12.5167,Northern,Tropical,coastline,New York,3159.0937325491695,1393.359044,41964.7711908515,76.353,107359.0,1.602,,97.17,99.9,96.8199996948242,,61.8351492675589,2.33333333333333,8.8,,3.61855755636695,93.8329391479492,,,130.648,160.634546418015,1.15159737684148,,,7.973,7.582,Other,0.0,Stable,8.0
AFG,Afghanistan,34.5228,69.1761,MEA,LIC,Kabul,34.5228,Northern,Subtropical,landlocked,Delhi,1005.1157615550635,3843.0780959999993,1983.81261992909,66.035,41454761.0,4.84,55.5,17.7089,85.3,37.2700004577637,,25.4730529631167,1.85278199408184,20.0,521.0,4.34319019317627,88.8901214599609,0.317,,55.5475,72.8854696086536,2.20731611347931,43.0159066808059,59.06770706,35.437,5.797,Other,8.0,Conflict-affected,3.0
AGO,Angola,-8.81155,13.242,SSF,LMC,Luanda,8.81155,Southern,Tropical,coastline,Lagos,2025.136224096565,980.901746,8788.26106439635,64.617,36749906.0,5.124,64.0,44.7581,48.5,66.2399978637695,51.3,69.8515032220457,52.5364972326943,52.9,183.0,2.51273663315785,47.8556786596463,0.244,39.3,70.052,55.2547732713835,0.0106739240124738,0.476824324324324,76.07118225,37.588,6.925,Other,0.0,Stable,4.0
ALB,Albania,41.3317,19.8172,ECS,UMC,Tirane,41.3317,Northern,Temperate,coastline,Istanbul,767.4206283091436,4601.044843999999,20481.0358398226,79.602,2414095.0,1.348,9.4,83.1356,100.0,97.6800003051758,29.4,58.2106086137857,28.7919708029197,41.9,7.0,3.09153008460998,95.1351520460518,1.879,0.3,92.9973,84.6980435944865,9.17717025231113,2.96282527881041,590.62799072,10.244,8.332,Other,0.0,Stable,5.5
AND,Andorra,42.5075,1.5218,ECS,HIC,Andorra la Vella,42.5075,Northern,Temperate,landlocked,Paris,709.2772416646205,4731.934899999999,64631.2963909271,84.041,80856.0,1.082,2.6,95.4456,100.0,,,88.8201609217082,34.0425531914894,18.7,11.0,1.89867997169495,69.4174757281553,5.068,,156.097,,1.31863050475322,,3605.19799805,6.859,6.076,Other,0.0,Stable,8.0
ARE,United Arab Emirates,24.4764,54.3705,MEA,HIC,Abu Dhabi,24.4764,Northern,Subtropical,coastline,Karachi,1277.4425477859454,2724.712848,70239.8552855072,82.909,10483751.0,1.2,5.0,100.0,100.0,98.0599975585938,26.4,85.6680699002526,4.46775556181357,1.0,3.0,3.89403009414673,99.1737916980463,2.992,0.0,199.424,185.741660982819,,1509.93333333333,2401.52026367,9.774,0.932,Other,0.0,Stable,8.0
ARG,Argentina,-34.6118,-58.4173,LCN,UMC,Buenos Aires,34.6118,Southern,Subtropical,coastline,Buenos Aires,3.6572473339235705,3852.985576,27230.3968496682,77.395,45538401.0,1.5,9.6,89.229,100.0,99.1399993896484,42.4,92.1945132257907,10.3610566048767,9.2,33.0,5.89754023690244,98.9436486948575,5.106,1.2,137.706,31.5801792606256,0.166635693990481,12.9075342465753,1456.98596191,11.064,7.668,Other,0.0,Stable,5.5
ARM,Armenia,40.1596,44.509,ECS,UMC,Yerevan,40.1596,Northern,Temperate,landlocked,Istanbul,1313.0321908420058,4470.566671999999,19402.7510915578,77.4658536585366,2964300.0,1.9,10.0,79.9966,100.0,99.8399963378906,27.2,65.6956882008852,11.6336717932132,9.1,19.0,2.43869996070862,94.3309098054628,3.36,1.9,134.52,103.878629213508,10.8688335174113,44.787869951888,766.95874023,12.3,8.2,Other,0.0,Stable,5.5
ASM,American Samoa,-14.2846,-170.691,EAS,HIC,Pago Pago,14.2846,Southern,Tropical,coastline,Tokyo,7619.79492703277,1590.1616719999997,,72.852,47521.0,2.286,,,,,,81.3721542708222,85.35,0.4,,,,,,,124.684270952928,,,,15.388,7.021,Other,0.0,Stable,8.0
ATG,Antigua and Barbuda,17.1175,-61.8456,LCN,HIC,Saint John's,17.1175,Northern,Tropical,coastline,New York,2871.309969412994,1905.5201,28474.0444178181,77.598,93316.0,1.578,9.3,77.5756,100.0,,,24.4500156687422,18.1615909090909,0.9,35.0,3.10505161832136,123.354735152488,2.917,,200.541,117.703527768353,1.86496707164868,8.46153846153846,841.24884033,11.848,6.893,Other,0.0,Stable,8.0
AUS,Australia,-35.282,149.129,EAS,HIC,Canberra,35.282,Southern,Temperate,coastline,Jakarta,5390.461441471156,3927.5922399999995,60684.9596204883,83.0512195121951,26659922.0,1.5,3.7,97.0631,100.0,,33.8,87.4866955653765,17.4213145571644,12.3,2.0,5.05916023254395,,4.086,1.0,112.513,45.6946418805752,0.0713213074162778,2.36178861788618,6980.38525391,10.8,6.9,Other,0.0,Stable,8.0
AUT,Austria,48.2201,16.3798,ECS,HIC,Vienna,48.2201,Northern,Temperate,landlocked,Paris,1033.8714157199804,5367.861532,64536.2981841434,81.5414634146342,9131761.0,1.32,3.1,95.3347,100.0,,31.2,69.2265358276021,47.206131846825,36.0,6.0,5.27748012542725,98.030403137207,5.515,0.5,121.746,123.579578652902,0.636214157041973,5.70909090909091,6267.93164063,8.5,9.8,Other,0.0,Stable,8.0
AZE,Azerbaijan,40.3834,49.8932,ECS,UMC,Baku,40.3834,Northern,Temperate,landlocked,Istanbul,1760.2453826372016,4495.480088,21310.7386915022,74.429,10153958.0,1.55,18.6,89.0,100.0,99.7799987792969,,58.5075350483702,13.9724815486993,1.3,18.0,3.66400003433227,96.2334128073598,3.185,,107.687,86.9822732541779,5.012251973723,160.52988293284,299.81060791,11.1,5.9,Other,0.0,Stable,5.5
BDI,Burundi,-3.3784,29.3639,SSF,LIC,Bujumbura,3.3784,Southern,Tropical,landlocked,Lagos,3087.4103012874925,376.083488,1036.16712196238,63.651,13689450.0,4.878,49.2,11.0784,10.3,71.4078166079164,37.5,23.5534768372276,10.8894080996885,83.0,392.0,4.87114173892375,47.609493213452,0.078,74.2,63.1631,,4.04924423053384,2.78429423459245,28.14028931,33.667,6.718,Other,0.0,Stable,3.0
BEL,Belgium,50.8371,4.36761,ECS,HIC,Brussels,50.8371,Northern,Temperate,coastline,Paris,263.1465893147189,5659.185971999999,63095.4017281289,82.3975609756098,11779946.0,1.47,3.6,94.6263,100.0,,26.8,87.551492636772,22.604446776415,11.7,4.0,6.27796983718872,,3.574,0.1,103.196,191.179031303786,2.37479009326131,35.833461825,5931.01464844,9.4,9.4,Other,0.0,Stable,8.0
BEN,Benin,6.4779,2.6323,SSF,LMC,Porto-Novo,6.4779,Northern,Tropical,coastline,Lagos,82.73870979451775,721.119828,3721.21254814808,60.774,14111034.0,4.556,77.9,32.2083,56.5,51.3800010681152,34.4,51.7457922964593,26.9169031571479,54.5,518.0,3.22974322056608,61.6417503356934,0.216,27.2,116.036,44.3815928877424,1.43702897358244,1.2621359223301,46.52822113,33.879,8.797,Other,0.0,Stable,4.0
