state,seats,women_contestants,women_elected,women_deposits_forfeited,elected_pct_of_women,success_rate,forfeit_rate
Andhra Pradesh,25,38,3,31,7.89,7.894736842105263,81.57894736842105
Arunachal Pradesh,2,1,0,1,0.0,0.0,100.0
Assam,14,12,1,9,8.33,8.333333333333332,75.0
Bihar,40,39,5,29,12.82,12.82051282051282,74.35897435897436
Goa,2,3,0,2,0.0,0.0,66.66666666666666
Gujarat,25,19,4,11,21.05,21.052631578947366,57.89473684210527
Haryana,10,16,1,14,6.25,6.25,87.5
Himachal Pradesh,4,3,1,2,33.33,33.33333333333333,66.66666666666666
Karnataka,28,42,3,34,7.14,7.142857142857142,80.95238095238095
Kerala,20,25,0,18,0.0,0.0,72.0
Madhya Pradesh,29,26,6,19,23.08,23.076923076923077,73.07692307692307
Maharashtra,48,111,7,94,6.31,6.306306306306306,84.68468468468468
Manipur,2,0,0,0,0.0,0.0,0.0
Meghalaya,2,2,0,0,0.0,0.0,0.0
Mizoram,1,1,0,1,0.0,0.0,100.0
Nagaland,1,0,0,0,0.0,0.0,0.0
Odisha,21,33,4,21,12.12,12.121212121212121,63.63636363636363
Punjab,13,26,1,22,3.85,3.8461538461538463,84.61538461538461
Rajasthan,25,19,3,11,15.79,15.789473684210526,57.89473684210527
Sikkim,1,1,0,1,0.0,0.0,100.0
Tamil Nadu,39,77,5,70,6.49,6.493506493506493,90.9090909090909
Tripura,2,2,1,1,50.0,50.0,50.0
Uttar Pradesh,80,80,7,57,8.75,8.75,71.25
West Bengal,42,72,11,53,15.28,15.277777777777779,73.61111111111111
Chhattisgarh,11,29,3,23,10.34,10.344827586206897,79.3103448275862
Jharkhand,14,31,2,24,6.45,6.451612903225806,77.41935483870968
Uttarakhand,5,4,1,3,25.0,25.0,75.0
Telangana,17,50,2,44,4.0,4.0,88.0
Andaman & Nicobar Islands,1,2,0,2,0.0,0.0,100.0
Chandigarh,1,2,0,2,0.0,0.0,100.0
Dadra & Nagar Haveli and Daman & Diu,2,1,1,0,100.0,100.0,0.0
NCT OF Delhi,7,23,2,21,8.7,8.695652173913043,91.30434782608695
Lakshadweep,1,0,0,0,0.0,0.0,0.0
Puducherry,1,3,0,3,0.0,0.0,100.0
Jammu and Kashmir,5,7,0,6,0.0,0.0,85.71428571428571
Ladakh,1,0,0,0,0.0,0.0,0.0
Total,542,800,74,629,9.25,9.25,78.625
