economy,Country,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ZWE,Zimbabwe,1.54405999183655,,6.07020998001099,5.99597978591919,6.13835000991821,,,2.00339007377625,2.05048990249634,,,,,0.384771297211919
ZMB,Zambia,3.41600445393739,3.35772272046971,3.69500242842903,3.71820710892018,5.15225706811611,4.62433004379272,3.74792003631592,3.72964000701904,4.73974990844727,4.4182401844799,3.94374100561712,3.11363465307753,3.65884092023983,4.07374933049157
YEM,"Yemen, Rep.",,,,,,,,,,,,,,
PSE,West Bank and Gaza,6.19167995452881,5.33527994155884,4.74210977554321,4.89467000961304,,4.66321992874146,4.98296022415161,4.72153997421265,,,,5.43442010879517,,
VIR,Virgin Islands (U.S.),,,,,,,,,,,,,,
VNM,Viet Nam,4.04593992233276,3.7802300453186,4.40817022323608,4.52833986282349,3.54012312110584,3.41660449674943,3.46906995773315,3.41865686539527,3.29537010192871,3.08499832693462,3.21652900152514,2.94517488804327,2.88738689372749,
VEN,"Venezuela, RB",,,,,,,,,,,,,,0.0031300000846386
VUT,Vanuatu,,,,,5.18195009231567,5.60338020324707,7.67742589514444,4.5334300994873,8.60634669948001,1.77407002449036,2.17358994483948,10.1102406419734,10.7033456499063,7.58135986328125
UZB,Uzbekistan,,,,5.74190998077393,5.71323013305664,5.49444007873535,5.38089990615845,4.48249006271362,4.83589298172277,6.29534678547216,4.44021987915039,4.13580989837646,5.23477171022152,5.47287597270024
URY,Uruguay,,4.14937019348145,4.09353338283242,4.23892021179199,4.26735019683838,4.20636987686157,4.36420011520386,4.41787004470825,4.60361003875732,4.62833976745605,4.54292011260986,4.46065998077393,4.5073299407959,4.81125020980835
USA,United States,,,,,,4.93063020706177,4.78327989578247,5.09296989440918,4.89502000808716,4.95746994018555,5.39531993865967,5.42038011550903,,
GBR,United Kingdom,5.69867992401123,5.57218980789185,,5.52530002593994,5.60134983062744,5.55452013015747,5.42795991897583,5.45256996154785,5.20437002182007,5.26115989685059,5.43935012817383,5.90682983398438,,
ARE,United Arab Emirates,,,,,,,,,,3.86020994186401,3.98417997360229,3.89403009414673,,
UKR,Ukraine,,5.93770980834961,6.44269990921021,6.41989994049072,5.87493991851807,5.33951727495092,5.00977993011475,5.41707992553711,5.3199200630188,5.44129991531372,5.38231992721558,5.14011001586914,,
UGA,Uganda,1.72739994525909,2.29890990257263,1.79746997356415,1.87114000320435,1.91472005844116,2.32152009010315,2.13789010047913,2.25363993644714,2.13052010536194,2.30828081242322,2.57222181308255,2.63593612308533,2.56105027176925,
TUV,Tuvalu,,,,,,,,,,,14.5482776139014,15.5155119679441,13.7621912480198,12.8456897735596
TCA,Turks and Caicos Islands,,3.16663368961357,2.69749326490282,2.80478695053816,2.74654631561921,3.09325003623962,2.90744573120893,2.47278207606746,2.72622990608215,2.47054004669189,2.46213795190062,3.88573002815247,3.28261995315552,2.68765461969981
TKM,Turkmenistan,,,3.04924988746643,,,,,,,3.12054991722107,3.76267004013061,3.8489100933075,3.58004999160767,2.71291995048523
TUR,Turkiye,,4.221519947052,4.38721990585327,4.34481000900269,4.41258001327515,4.30550003051758,4.62773990631104,4.32368993759155,4.29729986190796,4.44776010513306,4.03382015228271,3.53787994384766,3.09572005271912,
TUN,Tunisia,5.96306991577148,,5.95086002349854,,,6.22044992446899,,,,6.17373240410185,7.26507545467782,6.67984656240779,6.8049896073928,6.73398856321206
TTO,Trinidad and Tobago,4.21155458844183,3.85078840215008,3.57398000577018,3.75275872925405,3.59013796983043,4.42459330779419,4.21428227509361,3.3293687903123,3.47141762674052,3.55386116245268,4.2576699256897,3.00432991981506,2.67331004142761,3.01114988327026
TON,Tonga,,,,,,,,4.63626808288478,4.71514397196975,4.86170396202671,5.04883511346915,5.162544372426,5.31016278046634,
TGO,Togo,2.95977997779846,3.07750010490417,3.37651991844177,3.17475008964539,3.4237699508667,3.71097993850708,3.6624801158905,3.76526999473572,4.09162998199463,4.20164196626882,4.08528017372931,4.22702442483079,3.77811083266775,4.14281885166484
TLS,Timor-Leste,11.1065797805786,10.1935195922852,7.16214990615845,5.66632986068726,7.51430988311768,8.46706962585449,8.12837982177734,7.17093992233276,6.848060131073,4.17968913742937,3.65287360437751,2.97389404101318,,5.24052834781801
THA,Thailand,3.50844001770019,4.80555009841919,4.53670978546143,4.12402009963989,3.91917751852112,3.86397622727286,3.76761756770937,3.46532147640365,3.19769395901619,3.02221411183282,3.15314171737183,2.98212428478268,2.61187022798634,2.52122219628772
TZA,Tanzania,4.54169988632202,4.57789905920015,4.22964300342458,4.63769446369719,3.38488006591797,4.19486548285076,4.10196721791864,4.4305100440979,3.69960999488831,3.59683638888648,3.23097255920833,3.11515335288784,3.2382450375764,3.25853222146531
TJK,Tajikistan,4.00675010681152,3.93511009216309,4.01803016662598,5.29397617900035,5.59398898966753,4.96774005889893,5.73094142576332,5.54471764262202,5.38508736377556,5.48427628435415,5.13516829187823,4.38253082077599,5.39829770599001,5.43682120015444
SYR,Syrian Arab Republic,,,,,,,,,,,,,,
CHE,Switzerland,4.80210018157959,4.85663986206055,4.89862012863159,4.91392993927002,4.93057012557983,4.99559020996094,4.98163986206055,5.01765012741089,4.93008995056152,5.01438999176025,5.27676010131836,5.03708982467651,4.92419004440308,
SWE,Sweden,6.56318998336792,6.40656995773315,7.57456016540527,7.64657020568848,7.62924003601074,7.49443006515503,7.63990020751953,7.63850021362305,7.69824981689453,7.66306018829346,7.95333003997803,7.60224008560181,7.31909990310669,
SUR,Suriname,,,,,,5.53479610522553,5.64051904970974,5.45861311514349,4.92259355761269,6.77857289012664,4.58425708265782,4.13154972947739,3.43460841988051,2.86623341491363
SDN,Sudan,,,,,,,,,,,,,,
VCT,St. Vincent and the Grenadines,4.80839014053345,,,,,4.95614634835429,5.45265007019043,5.37974977493286,5.22357988357544,,5.46376310406546,,7.07575034584772,6.4582691706334
MAF,St. Martin (French part),,,,,,,,,,,,,,
LCA,St. Lucia,3.4828999042511,3.5988199710846,3.29098010063171,3.87661004066467,3.89142990112305,3.88088011741638,5.2095799446106,3.6273152206015,3.33276009559631,3.27266001701355,3.61517000198364,5.86197746335882,4.64235019683838,2.74212002754211
KNA,St. Kitts and Nevis,2.54554015619203,2.49706527276352,2.49200145387318,3.26205857202123,2.85307503792741,2.54938006401062,3.00076147453842,2.77100327979144,3.03524983830349,2.72889566429639,3.10568635584663,2.78379011154175,3.5579615526858,3.49726171629099
LKA,Sri Lanka,1.66177999973297,1.74292004108429,1.45342004299164,1.5645899772644,1.85859000682831,2.10998010635376,3.22929000854492,2.59316992759705,1.98781001567841,,1.55792392223723,1.50650579603928,1.20397218661186,1.82774571561927
ESP,Spain,4.8360800743103,4.71897983551025,4.46011018753052,4.32851982116699,4.27524995803833,4.24902009963989,4.19328022003174,4.17845010757446,4.15046977996826,4.20255994796753,4.85116004943848,4.81315994262695,4.58553981781006,
SSD,South Sudan,1.04533007934585,0.962890028953552,1.57674938085481,1.02450001239777,1.23246002197266,1.46555995941162,1.56539228959694,,,,,,,
ZAF,South Africa,5.13497018814087,5.28898000717163,5.52323007583618,5.35071992874146,5.48977994918823,5.48285007476807,5.4442400932312,5.59867000579834,5.64401006698608,5.9115800857544,6.17067003250122,6.5551700592041,6.15599012374878,6.12346982955933
SOM,"Somalia, Fed. Rep.",,,,,,,,,4.00990834307e-06,5.73281247182e-06,6.12054361034e-06,6.75308344309e-06,7.21674775437e-06,8.14262404011e-06
SLB,Solomon Islands,7.47837018966675,,,,,,,,,,9.64354620369343,8.33232704380039,8.48737829731105,8.29349080062944
SVN,Slovenia,5.59362983703613,5.58290004730225,5.6702299118042,5.46767997741699,5.34328985214233,4.95528984069824,4.84419012069702,4.82381010055542,4.97948980331421,4.93479013442993,5.41901016235352,5.39167022705078,5.28065013885498,
SVK,Slovak Republic,4.04704999923706,3.90686988830566,3.85490989685059,4.06078004837036,4.20446014404297,4.56416988372803,3.88375997543335,3.91876006126404,3.93534994125366,4.26779985427856,4.720290184021,4.71646976470947,4.65508985519409,
SXM,Sint Maarten (Dutch part),,,4.61834872782909,,3.06759489680727,,,,,,,,4.27420508508285,3.92363832601723
SGP,Singapore,3.08044004440308,3.03077006340027,3.07085990905762,2.85435009002686,3.01358665503678,2.99161870509909,2.94466258946576,2.87916382421742,2.85660004615784,2.72951006889343,2.6869900226593,2.82470989227295,2.48891997337341,2.14826011657715
SLE,Sierra Leone,1.65470004081726,1.71206998825073,1.84204995632172,1.52128994464874,1.7022500038147,3.21786273563993,1.86107003688812,2.97943997383118,4.46809005737305,4.65362977981567,5.35125017166138,5.59958982467651,4.91130018234253,2.62455277942046
SYC,Seychelles,,3.62995004653931,2.54216003417969,3.61840009689331,3.95247006416321,4.91460990905762,4.0213098526001,3.34617325657655,3.59446940668662,3.5588555711461,4.18704837049316,4.86547351368626,3.65858904774836,4.45409960547034
SRB,Serbia,,4.0735502243042,,,,,3.50274991989136,3.56539011001587,3.43663001060486,3.45865988731384,,3.14615988731384,3.08255004882812,3.40377998352051
