economy,Country,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
ZWE,Zimbabwe,33.7,34.2,34.2,35.1,35.6,36.1,37.2,37.2,37.7,43.4,38.9,36.9,44.0,40.6,32.3,33.7,42.5,44.0,45.4,46.7,52.7,49.0,50.1
ZMB,Zambia,16.7,20.2,17.4,18.5,20.3,23.3,24.1,18.5,25.7,26.6,22.0,28.3,29.2,30.1,27.9,31.1,35.4,40.3,40.2,43.0,44.6,46.7,47.8
YEM,"Yemen, Rep.",49.2,50.4,51.5,52.6,49.6,54.8,55.8,57.2,58.4,59.6,60.8,62.0,52.4,75.6,66.1,67.4,68.9,79.2,62.0,72.8,73.9,74.9,76.0
PSE,West Bank and Gaza,99.7,99.1,99.2,99.1,99.5,99.6,99.7,98.8,99.8,99.9,99.9,99.7,99.8,99.9,99.9,99.9,100.0,99.9,100.0,100.0,100.0,100.0,100.0
VIR,Virgin Islands (U.S.),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
VNM,Viet Nam,88.2,88.9,89.1,90.3,91.0,96.1,96.0,93.1,93.8,96.1,97.4,99.0,97.9,98.5,99.2,99.3,99.2,100.0,100.0,99.4,99.8,100.0,100.0
VEN,"Venezuela, RB",98.9,99.9,99.8,95.7,99.1,98.8,99.3,98.9,98.9,99.0,99.1,98.8,99.3,99.4,100.0,100.0,99.4,99.2,99.9,99.8,99.9,100.0,100.0
VUT,Vanuatu,22.2,24.0,25.7,27.5,29.2,31.0,26.4,33.6,36.5,33.3,44.1,42.0,43.9,31.7,49.1,52.3,57.8,62.8,61.6,64.5,67.3,70.0,71.6
UZB,Uzbekistan,99.6,99.6,99.7,99.5,99.5,99.4,99.5,99.5,99.5,99.5,99.6,99.7,99.7,99.8,99.8,99.9,99.9,100.0,100.0,100.0,100.0,99.9,100.0
URY,Uruguay,97.6,97.7,97.8,97.9,98.0,98.0,98.5,98.7,98.8,99.1,99.3,99.2,99.6,99.6,99.7,99.7,99.7,99.8,99.8,99.9,100.0,100.0,100.0
