economy,Country,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ZWE,Zimbabwe,2.2405,2.62282,2.80269,2.97287,3.4429,5.18375,6.71982,9.57239,12.7687,30.3665,57.6496,67.6698,91.287,97.2838,83.0461,88.5992,88.21,95.1367,85.8627,86.4094,84.9604,90.2538,88.9958,91.6344
ZMB,Zambia,0.98679,1.17383,1.30628,2.19418,4.09548,8.10286,13.713,21.0029,27.1785,32.6653,39.0029,56.5499,70.5709,67.5096,63.6343,70.4778,71.0461,77.05,86.0723,93.0148,100.235,103.283,98.4373,102.062
YEM,"Yemen, Rep.",0.163278,0.73092,2.33581,3.14667,6.68019,9.99364,12.6482,17.8838,25.6651,32.0622,41.4325,42.3016,48.8857,57.465,56.5732,48.2101,51.179,46.4111,44.8811,43.399,42.0038,47.809,46.4534,50.8938
PSE,West Bank and Gaza,0.224507,5.42645,7.57298,7.77179,12.5642,15.955,22.5454,27.3365,34.3273,45.9038,64.8154,70.093,74.3646,73.9291,72.4102,78.0924,80.1511,84.2594,90.2055,86.7372,80.1298,78.1621,76.5666,76.6919
VIR,Virgin Islands (U.S.),32.2346,37.7793,41.6444,45.5764,59.5354,74.6241,,,,,,,,,,,,,,89.5125,91.2128,91.7189,91.462,
VNM,Viet Nam,1.02206,1.60473,2.41505,3.44629,6.17384,11.8306,22.9925,53.835,87.9033,113.606,127.574,143.914,147.104,136.614,148.504,129.627,128.298,126.098,146.138,140.193,141.656,136.806,137.852,130.991
VEN,"Venezuela, RB",22.2091,25.9111,25.7194,27.093,31.9693,46.6505,69.0163,86.1507,97.7211,98.8933,96.762,98.6184,103.435,103.289,100.905,95.1578,89.7131,80.1355,69.55,63.8474,58.1626,60.2345,66.4668,70.2197
VUT,Vanuatu,0.195941,0.183216,2.50175,3.88551,5.10619,6.02202,6.94692,11.75,15.8663,56.5812,71.3269,56.2508,58.6959,50.0012,59.9643,65.6961,80.3431,81.8708,88.1403,90.8331,82.391,81.6914,81.6203,89.2943
UZB,Uzbekistan,0.214338,0.510205,0.735827,1.24776,2.09033,2.73172,9.47736,21.0203,45.0095,58.7627,73.8123,88.2685,69.2849,72.332,71.5985,70.8415,74.367,76.2605,71.7444,101.26,99.4064,102.41,105.472,106.885
URY,Uruguay,12.5769,15.8812,15.6618,15.1631,18.2681,35.1492,70.8316,91.174,106.227,124.213,133.707,143.002,149.771,157.471,163.783,153.368,151.415,150.44,131.363,133.237,133.902,138.113,139.829,141.719
USA,United States,38.8931,45.202,49.3932,55.4096,63.1242,68.8835,76.8586,82.5923,85.6805,89.0461,91.6593,94.683,96.1284,97.0595,99.8396,101.832,102.752,102.381,103.935,105.321,103.855,106.325,108.786,112.411
GBR,United Kingdom,73.576,78.0646,82.6795,90.6985,99.1988,108.046,114.786,119.989,120.819,122.357,121.781,121.498,122.465,122.185,120.958,121.212,119.787,119.207,118.184,120.25,117.305,117.887,119.834,122.796
ARE,United Arab Emirates,40.8783,51.2759,61.3641,70.8971,83.1597,97.1993,110.185,137.458,148.473,159.114,157.473,162.894,183.741,205.105,204.192,206.839,220.412,214.701,214.842,209.033,194.468,186.301,195.625,199.424
UKR,Ukraine,1.67593,4.59601,7.6964,13.6577,29.0897,64.0054,105.277,119.088,120.558,119.456,117.768,121.942,130.859,138.441,144.279,142.003,133.169,131.357,127.754,130.629,129.341,135.026,120.261,122.758
UGA,Uganda,0.528801,1.14574,1.54041,2.94538,4.29039,4.70367,6.97652,14.1477,28.0124,29.8359,39.6047,50.0591,47.6343,51.1323,55.9572,53.8756,58.8634,62.0968,58.8754,59.0598,62.2824,65.6221,70.1401,76.2967
TUV,Tuvalu,0.0,0.0,0.0,0.0,5.09372,13.0785,15.9109,17.6783,,9.55932,15.0744,19.7588,25.6082,30.9063,34.5958,60.2025,69.5334,73.6038,79.0624,85.0581,86.5468,88.2872,98.8591,
TCA,Turks and Caicos Islands,,,43.9481,89.1103,109.752,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,0.16366,0.174808,0.171361,0.188883,1.01047,2.07828,4.2134,7.27816,21.2375,39.1242,57.4662,93.2538,101.574,103.131,118.613,126.163,134.826,,87.773,88.2099,88.703,88.1929,,
TUR,Turkiye,24.659,29.5462,34.7853,41.1128,50.5995,62.901,75.1837,87.5976,91.9815,86.6345,84.2159,88.0167,90.0041,91.1758,92.1219,92.0327,91.9287,93.6408,94.9086,94.6498,95.3961,99.5415,103.721,105.684
TUN,Tunisia,1.22034,3.94347,5.75975,19.0389,36.7464,55.3921,70.9333,75.1086,81.5941,91.985,103.235,113.794,116.66,114.101,126.692,128.009,123.883,123.034,125.533,124.387,124.042,129.846,131.875,134.136
TTO,Trinidad and Tobago,12.2642,19.3205,19.7275,25.1251,48.4019,68.3489,111.783,110.578,131.633,133.885,136.605,130.912,134.184,137.604,139.365,148.572,150.717,140.503,134.143,145.716,134.231,134.222,133.632,134.231
TON,Tonga,0.175307,0.228487,3.22891,10.7214,15.6085,28.2689,28.2825,43.5929,47.1613,49.4389,50.5587,51.1295,52.1124,53.6992,63.7845,69.2709,75.8121,102.451,102.246,58.7722,58.6544,60.9802,61.7258,
TGO,Togo,0.972756,1.80013,3.05061,4.38771,5.83805,7.41937,11.7791,19.2349,24.3302,33.3849,38.652,38.9698,46.6464,58.5139,60.4369,63.3575,70.0588,75.3357,74.3997,73.7225,75.164,70.4497,72.2148,75.7907
TLS,Timor-Leste,,,,2.18764,2.76856,3.48746,5.02766,7.78345,12.1076,33.141,43.6092,55.3186,54.7192,56.0976,116.401,114.234,121.478,124.36,115.089,109.555,103.911,102.669,108.158,112.647
THA,Thailand,4.85019,11.8615,27.1524,33.3244,41.1989,46.1397,60.2777,78.945,91.4483,96.8163,104.589,112.233,122.432,134.367,138.281,145.933,168.881,170.784,175.266,181.222,162.328,168.485,176.223,168.643
TZA,Tanzania,0.322585,0.782879,1.68006,3.49964,5.09582,7.56468,13.9199,19.9153,30.5534,40.0364,46.8824,55.761,57.4558,56.2075,63.2804,76.2493,74.3984,71.7912,75.7302,80.5836,84.0051,86.0163,93.016,105.4
TJK,Tajikistan,0.0184574,0.0254394,0.202092,0.715123,1.98806,3.82687,30.4638,29.6445,50.0588,65.4186,77.6363,80.8201,81.4566,91.7288,94.9386,98.2087,106.027,109.004,107.442,115.373,118.819,116.225,126.161,
SYR,Syrian Arab Republic,0.180311,1.17293,2.28986,6.62407,12.7939,15.6797,23.8071,29.8537,32.6122,45.6017,52.0229,56.4601,57.0305,56.7277,69.2512,73.6811,69.5529,80.0326,87.4952,87.1297,79.1482,78.5558,78.6568,72.4406
CHE,Switzerland,64.5673,73.0073,78.8089,84.3941,84.9756,91.959,99.4337,108.793,116.423,120.483,123.236,127.397,132.031,136.551,136.138,135.723,134.236,131.17,126.681,126.921,127.376,123.212,123.971,128.64
SWE,Sweden,71.824,80.6878,89.064,98.2426,97.6783,100.822,105.797,110.588,108.613,112.273,117.212,121.219,124.465,125.142,126.98,128.974,126.402,124.473,124.086,125.457,123.549,124.961,140.782,140.266
SUR,Suriname,8.6119,17.8806,21.8231,33.2775,41.4107,44.8256,60.9527,71.5609,122.31,140.537,94.7707,95.9108,101.144,152.648,161.252,129.027,137.281,134.05,125.48,134.349,146.875,146.654,149.052,157.246
SDN,Sudan,0.082684,0.364158,0.652707,1.76355,3.43152,5.84708,14.6382,25.0826,35.6634,44.3746,51.09,69.3293,74.9085,73.1964,71.5977,69.8036,67.3955,67.0598,68.0534,72.4819,75.2207,71.7672,70.2084,
VCT,St. Vincent and the Grenadines,2.07935,6.60082,8.80659,55.6041,63.81,62.8012,78.2349,99.0675,117.176,109.597,119.855,120.54,116.789,115.946,106.958,105.994,105.924,109.635,107.164,92.5178,96.9438,95.5174,102.334,101.631
MAF,St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,
LCA,St. Lucia,1.57613,1.685,8.85481,60.7451,61.4957,63.8598,63.3705,87.6262,103.695,111.697,115.977,126.035,125.154,122.319,108.162,107.339,100.57,100.2,104.478,83.1865,81.8687,96.2374,98.6676,
KNA,St. Kitts and Nevis,2.65205,4.58906,10.8648,47.6438,62.6147,109.826,109.515,138.098,159.069,160.926,170.772,164.228,161.589,163.59,138.036,155.051,162.683,163.396,152.302,138.916,133.401,121.256,116.924,118.893
LKA,Sri Lanka,2.22983,3.40638,4.70269,6.98394,11.0076,16.6288,26.5939,38.958,53.7217,78.556,83.1421,87.1979,91.3242,95.1136,102.671,109.985,117.738,127.67,136.084,126.514,131.773,135.523,151.727,142.277
ESP,Spain,59.1545,71.9003,80.3028,87.5626,89.3326,97.1228,102.236,106.384,107.328,109.472,109.712,111.899,107.756,107.039,108.746,109.391,110.247,112.03,115.009,116.696,116.712,119.0,123.4,127.715
SSD,South Sudan,,,,,,,,,,,15.391,17.4959,21.3829,25.5522,25.5993,26.0993,24.9305,27.1848,18.9298,21.3171,,30.151,48.4888,46.6152
ZAF,South Africa,17.6825,22.6776,28.5343,34.7626,42.536,68.6198,79.3267,83.715,88.0375,89.7687,96.2325,120.766,127.168,140.576,142.604,155.138,143.929,153.548,157.692,162.739,158.447,163.128,160.729,171.509
SOM,"Somalia, Fed. Rep.",0.905109,0.924064,1.04711,2.01834,4.86334,4.69738,5.01116,5.29914,5.37594,5.35899,5.28636,14.5763,18.4574,40.2732,41.231,42.2685,46.3667,47.7253,49.5263,51.3194,53.1133,51.2059,49.6801,53.958
