economy,Country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ZWE,Zimbabwe,29.5920412137481,30.1555850077795,30.5674246988034,30.8753173320215,31.1618938952517,31.429986132892,31.6769076006021,31.8999718540415,32.0964924488698,32.2637829407466,32.3991568853313,32.4999278382836,32.5631884166934,32.6003372313948,32.6278168233873,32.6482709722903,32.6640794641194,32.67762208489,32.6912786206175,32.7074288573175,32.7284525810054,32.7567295776968,32.7931752128328,32.9019343169941,33.1628075970801,33.5612641766874,34.0799460726314,34.7014953017273,35.4085538807905,36.1837638266364,37.0097671560802,37.8692058859373,38.7055207169041,39.2919370795795
ZMB,Zambia,39.3639924846036,39.2536515579652,39.0972462878148,38.8993519782475,38.6659731487597,38.4031143188477,37.9842763417749,37.3758882162063,36.7233466797411,36.1720484699782,35.8735460960387,35.8846482932758,36.0706035730014,36.3858560115875,36.8035881130253,37.2969823813059,37.8392213204204,38.4034874343601,38.9629632271162,39.4908312026796,39.9558857709992,40.3684491825881,40.7698556821596,41.1682266235825,41.5634741658525,41.9555104679652,42.3442476889162,42.7295979877011,43.1114735233156,43.4897864547552,43.8644489410157,44.2353731410926,44.5988511178469,45.0285853521585
YEM,"Yemen, Rep.",20.1820531721852,20.9822487599409,21.7569525846164,22.4923555641291,23.1700802443959,23.7984859251509,24.3989541605814,24.9808729368956,25.5432575968119,26.0851234830484,26.6054859383233,27.1033603053549,27.5777619268614,28.0277061455611,28.4506523754813,28.8523786558834,29.2379493450977,29.6091538946366,29.9646637170333,30.3031502248211,30.6232848305331,30.9237389467026,31.2031839858628,31.4427187944215,31.8626162180918,32.3883178702702,32.9512008005236,33.5586912522175,34.2106045810864,34.9067561732024,35.7025604580302,36.0704951256305,36.3226310308295,36.5707979836506
PSE,West Bank and Gaza,65.3367502449023,65.7052491711444,66.1038051489255,66.5380301106892,67.0135359888796,67.5359347159403,68.1108382243154,68.7351827543561,69.4998723632721,70.6277576517327,72.0694328572656,73.7258284491139,75.4978748965208,77.2865026687292,78.9926422349822,80.5172240645229,81.7611786265942,82.596126313073,83.0979098899913,83.5050344815957,83.8853491139676,84.2340950604341,84.5465135943222,84.8178459889593,85.0433335176723,85.2182174537886,85.3377390706351,85.3782255354,85.5351131070872,85.8136174183656,86.0741183743925,86.334956387337,86.5961423216016,86.8576870415886
VIR,Virgin Islands (U.S.),70.3818429114451,73.7756207050017,77.0355694938073,80.1141807479089,82.9639459373535,85.5373565321881,87.7869040024597,89.6650798182152,91.1243754495017,92.1172823663661,92.6234446497486,92.9312505278715,93.2191674762441,93.4773224233974,93.7071483863705,93.9100783822029,94.0875454279337,94.2409825406024,94.3718227372483,94.4814990349105,94.5724392667003,94.6553578863453,94.7353591077883,94.8105958193224,94.8797070702488,94.9413319098685,94.9941093874829,95.0366785523929,95.0676784538999,95.0857481413049,95.0974024521293,95.1604310610968,95.2171514724412,95.2740790945924
VNM,Viet Nam,19.1735039651626,19.4396801924029,19.8252510026665,20.3057679487956,20.8567825836322,21.4538464600183,22.072511130796,22.6883281488073,23.2768490668943,23.8212278892522,24.3672526919772,24.9489362725143,25.5540925665659,26.1745407830283,26.8021001307977,27.4285898187702,28.0458290558422,28.6456370509099,29.2198330128693,29.7581347355675,30.2504027258526,30.6996041680996,31.1222779403029,31.5334201724543,31.9480269945454,32.3810945365679,32.8476189285136,33.3625963003742,33.9410227821412,34.6239134999511,35.5706676299742,36.6540656426603,37.5478515625,38.1298904418945
VEN,"Venezuela, RB",83.9741022430344,84.4092017935829,84.8766356611879,85.3657269170578,85.8624720356125,86.352867491272,86.8229097584563,87.2585953115854,87.6459206250794,87.9708821733583,88.219476430842,88.372774123042,88.4553810951083,88.522274342774,88.5835546444319,88.638673298371,88.6870816028803,88.7282308562487,88.7615723567652,88.7865574027187,88.8026372923982,88.8079278904659,88.8401868543141,88.8786817039721,88.9163913525251,88.9539804079292,88.9914428378712,89.0287726100378,89.0659636921159,89.1030100517924,89.1399056567545,89.1766444746891,89.2132204732836,89.249627620225
VUT,Vanuatu,18.7666062035645,19.0816163099217,19.383874879138,19.676047414188,19.9607994180462,20.2407963936871,20.5187038440851,20.7971872722147,21.0789121810505,21.3677585605054,21.6572490599483,21.9341706883464,22.2011458912344,22.4641372404641,22.7291073078871,23.0020186653551,23.2888338847199,23.5955155378332,23.9280261965467,24.2861753285463,24.742504119873,24.7861634049013,24.8183551383933,24.8407362750263,24.8549637694775,24.8626945764242,24.8654875642873,24.7644441456437,24.2729727045038,23.5024668917075,22.4186852094794,22.2501822422475,22.2541249733107,22.2651966823901
UZB,Uzbekistan,40.7715937023416,41.0845226123885,41.5298766018746,42.0894314135234,42.7449627900584,43.4782464742032,44.2710582086815,45.1051737362168,45.9623687995325,46.8244191413524,47.6731005044,48.4901886313987,49.2574592650723,49.9566881481443,50.5696510233382,51.0781236333777,51.4638817209862,51.7087010288873,51.7943572998047,51.6105041503906,51.3321647644043,51.3395500183105,51.3359680175781,51.1276969909668,50.8868713378906,50.6597328186035,50.6572189331055,50.6787376403809,50.5814971923828,50.5920104980469,50.7670402526855,50.9269905090332,50.9847412109375,50.9964841114568
URY,Uruguay,89.0930129250252,89.4468827883698,89.780655787039,90.0885354831698,90.364725438899,90.6034292163637,90.7987169022654,90.9527192912429,91.0763563098556,91.1807813592588,91.2769768173566,91.3759250620534,91.4886084712534,91.6260094228609,91.8009434091917,92.0812710048572,92.4845482788191,92.9603688038713,93.45975578621,93.9337324320314,94.3333219475319,94.6036824756941,94.7606597546186,94.8844735142936,94.9897821210514,95.0800002298303,95.1585424955685,95.2288235732042,95.2942581176758,95.3479309082031,95.3997650146484,95.4497146606445,95.4977416992188,95.5439605712891
