State,seats,avg_lat,avg_lon,avg_turnout,women_won,avg_margin,total_electors,fiscal_return,region,male_electors,female_electors,gender_ratio,female_voter_pct,area_km2,literacy,pop_2024,women_contestants,women_elected,forfeit_rate,punishment_value,electors_per_seat
Andaman & Nicobar Islands,1,20.53915732956985,72.0723267063468,64.14,0,12.05,315745.0,,,164572,151169,918.558442505408,47.87753253457739,,,,2,0,100.0,0.825,315745.0
Andhra Pradesh,25,16.115129459825784,80.53439949764682,81.5812,1,15.2704,41401887.0,42.1,South,20339851,21058615,1035.337721992162,50.868104629770585,160205.0,67.4,53.0,38,3,81.57894736842105,0.85265,1656075.48
Arunachal Pradesh,2,28.035775057927964,94.67177653658115,81.18,0,17.305,898442.0,510.3,Northeast,444078,454359,1023.1513382784104,50.572160318419655,83743.0,66.9,1.7,1,0,100.0,-0.7860499999999999,449221.0
Assam,14,26.29389041864952,92.6742511719484,80.96571428571428,1,17.55785714285714,24572114.0,112.4,Northeast,12326124,12245586,993.4660725464064,49.83611641192249,78438.0,73.2,36.0,12,1,75.0,0.6066,1755151.0
Bihar,40,25.7462580362182,85.61040366904894,56.384249999999994,6,9.626999999999999,77259579.0,142.5,East,40509529,36747831,907.140416270947,47.56547596241963,94163.0,63.8,130.0,39,5,74.35897435897436,0.50125,1931489.475
Chandigarh,1,30.73018233830845,76.78115996579598,68.02,0,0.56,660552.0,,,342176,318341,930.3428644907884,48.19573152545657,,,,2,0,100.0,0.825,660552.0
Chhattisgarh,11,21.55579752445645,82.0870450217151,73.13454545454546,3,11.386363636363635,20678667.0,98.7,Central,10258273,10419662,1015.7325701899337,50.39024448040871,135192.0,71.0,30.0,29,3,79.3103448275862,0.65455,1879878.8181818181
Dadra & Nagar Haveli and Daman & Diu,2,20.366968817499966,72.57115973181284,70.75,0,17.375,417236.0,,,215816,201420,933.295029098862,48.274837262364706,,,,1,1,0.0,0.825,208618.0
Goa,2,15.394115324996678,74.04101589022024,76.875,1,14.22,1179644.0,52.1,West,571909,607723,1062.6218506790417,51.518015787974555,3702.0,87.4,1.6,3,0,66.66666666666666,0.81765,589822.0
Gujarat,26,22.423463238111342,72.28498924834608,58.316538461538464,2,31.036538461538463,50169945.0,35.4,West,24688484,23320005,944.570148576154,48.57475310251901,196024.0,79.3,70.0,19,4,57.89473684210527,0.8761,1929613.2692307692
Haryana,10,29.13886367816111,76.52815370495604,64.88199999999999,1,9.81,20187911.0,38.6,North,10758603,9428841,876.4001236963572,46.706462690373286,44212.0,76.6,30.0,16,1,87.5,0.8649,2018791.1
Himachal Pradesh,4,31.780187335182884,76.92755583231389,71.3275,1,14.622499999999999,5711969.0,89.1,North,2913075,2798859,960.7919466543084,49.00019853170573,55673.0,83.8,7.5,3,1,66.66666666666666,0.68815,1427992.25
Jammu and Kashmir,5,33.74240191919127,74.90191779195234,58.568,0,19.336,8802348.0,165.0,North,4526515,4275667,944.5825320362354,48.575080587972394,222236.0,68.7,14.0,7,0,85.71428571428571,0.4225000000000001,1760469.6
Jharkhand,14,23.70389593869577,85.80492648484228,67.05,1,15.69,25877892.0,105.2,East,13188488,12688983,962.125681124326,49.03486511491019,79716.0,67.6,40.0,31,2,77.41935483870968,0.6317999999999999,1848420.857142857
Karnataka,28,14.397603587181168,76.33943423257213,71.90714285714286,4,10.01,54772332.0,37.3,South,27411534,27355786,997.9662575615068,49.94910468505671,191791.0,75.6,68.0,42,3,80.95238095238095,0.8694500000000001,1956154.7142857143
Kerala,20,10.342623292936196,76.35715035203778,71.7755,0,11.818999999999999,27807008.0,34.2,South,13470508,14336133,1064.2607539374164,51.55650767023604,38863.0,93.9,35.0,25,0,72.0,0.8803,1390350.4
Ladakh,1,34.883247138679444,76.61794040179055,71.11,0,20.56,190576.0,,,98390,92186,936.9448114645796,48.372302913273444,,,,0,0,0.0,0.825,190576.0
Lakshadweep,1,10.37335532529773,72.9740245294987,84.9,0,5.38,57953.0,,,29445,28508,968.1779589064356,49.1915862854382,,,,0,0,0.0,0.825,57953.0
Madhya Pradesh,29,23.61851597570501,78.12814047357095,67.05172413793103,7,25.629310344827587,56668852.0,95.6,Central,29141488,27526143,944.5688909227972,48.574719843149964,308252.0,70.6,87.0,26,6,73.07692307692307,0.6654,1954098.3448275863
Maharashtra,48,19.338698415773944,75.25756421490286,61.57208333333333,6,9.098958333333334,93061760.0,27.8,West,48426549,44629491,921.5913981398922,47.95980035256175,307713.0,82.9,128.0,111,7,84.68468468468468,0.9027000000000001,1938786.6666666667
Manipur,2,24.722672344024247,93.88857813532657,77.72999999999999,1,12.25,2051357.0,245.3,Northeast,1001762,1049347,1047.5013027046346,51.15998223400121,22327.0,79.9,3.2,0,0,0.0,0.14144999999999996,1025678.5
