economy,Country,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ZWE,Zimbabwe,567.0,564.0,558.0,525.0,468.0,428.0,411.0,389.0,386.0,388.0,380.0,446.0,368.0,358.0
ZMB,Zambia,332.0,291.0,256.0,213.0,174.0,154.0,158.0,141.0,117.0,103.0,99.0,140.0,89.0,85.0
YEM,"Yemen, Rep.",144.0,140.0,137.0,135.0,134.0,135.0,134.0,142.0,134.0,131.0,135.0,156.0,125.0,118.0
PSE,West Bank and Gaza,42.0,39.0,36.0,32.0,29.0,26.0,23.0,21.0,19.0,18.0,20.0,29.0,17.0,16.0
VIR,Virgin Islands (U.S.),,,,,,,,,,,,,,
VNM,Viet Nam,62.0,61.0,60.0,60.0,59.0,58.0,56.0,55.0,53.0,52.0,51.0,52.0,49.0,48.0
VEN,"Venezuela, RB",110.0,104.0,113.0,123.0,133.0,136.0,162.0,195.0,205.0,202.0,207.0,251.0,219.0,227.0
VUT,Vanuatu,114.0,112.0,109.0,110.0,110.0,109.0,107.0,107.0,108.0,105.0,107.0,124.0,105.0,100.0
UZB,Uzbekistan,34.0,33.0,33.0,32.0,32.0,31.0,31.0,30.0,29.0,29.0,29.0,28.0,27.0,26.0
URY,Uruguay,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,20.0,49.0,20.0,15.0
USA,United States,15.0,15.0,16.0,16.0,17.0,17.0,18.0,18.0,18.0,18.0,22.0,31.0,20.0,17.0
GBR,United Kingdom,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,14.0,13.0,15.0,8.0
ARE,United Arab Emirates,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,2.0,3.0
UKR,Ukraine,21.0,20.0,20.0,20.0,19.0,17.0,17.0,16.0,16.0,16.0,18.0,26.0,16.0,15.0
UGA,Uganda,304.0,295.0,285.0,308.0,311.0,299.0,272.0,246.0,232.0,219.0,209.0,216.0,184.0,170.0
TUV,Tuvalu,213.0,169.0,168.0,168.0,168.0,169.0,170.0,171.0,153.0,155.0,206.0,157.0,220.0,170.0
TCA,Turks and Caicos Islands,,,,,,,,,,,,,,
TKM,Turkmenistan,9.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0
TUR,Turkiye,23.0,23.0,21.0,20.0,20.0,19.0,19.0,18.0,17.0,17.0,19.0,20.0,21.0,15.0
TUN,Tunisia,44.0,44.0,43.0,43.0,42.0,40.0,39.0,38.0,38.0,37.0,40.0,65.0,38.0,36.0
TTO,Trinidad and Tobago,54.0,53.0,51.0,50.0,50.0,50.0,51.0,51.0,53.0,53.0,35.0,54.0,30.0,54.0
TON,Tonga,85.0,84.0,83.0,80.0,80.0,79.0,78.0,77.0,74.0,73.0,74.0,76.0,72.0,67.0
TGO,Togo,497.0,501.0,506.0,500.0,490.0,470.0,460.0,443.0,435.0,416.0,398.0,397.0,362.0,349.0
TLS,Timor-Leste,439.0,404.0,374.0,349.0,327.0,305.0,287.0,269.0,251.0,237.0,257.0,263.0,235.0,192.0
THA,Thailand,37.0,37.0,36.0,35.0,34.0,34.0,34.0,34.0,34.0,34.0,36.0,38.0,112.0,34.0
TZA,Tanzania,486.0,475.0,448.0,479.0,454.0,433.0,396.0,345.0,319.0,292.0,160.0,162.0,152.0,276.0
TJK,Tajikistan,26.0,25.0,23.0,21.0,21.0,20.0,20.0,17.0,16.0,16.0,25.0,25.0,14.0,14.0
SYR,Syrian Arab Republic,19.0,21.0,22.0,25.0,25.0,24.0,23.0,23.0,21.0,24.0,23.0,30.0,21.0,20.0
CHE,Switzerland,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0
SWE,Sweden,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0
SUR,Suriname,134.0,126.0,122.0,121.0,120.0,115.0,109.0,105.0,101.0,97.0,94.0,144.0,88.0,84.0
SDN,Sudan,370.0,357.0,340.0,327.0,309.0,298.0,288.0,277.0,268.0,262.0,273.0,305.0,263.0,256.0
VCT,St. Vincent and the Grenadines,59.0,59.0,61.0,73.0,64.0,59.0,52.0,58.0,56.0,58.0,57.0,105.0,56.0,56.0
MAF,St. Martin (French part),,,,,,,,,,,,,,
LCA,St. Lucia,56.0,56.0,55.0,53.0,49.0,46.0,46.0,43.0,41.0,43.0,43.0,94.0,48.0,44.0
KNA,St. Kitts and Nevis,92.0,90.0,88.0,82.0,82.0,76.0,75.0,74.0,78.0,74.0,80.0,111.0,99.0,74.0
LKA,Sri Lanka,26.0,25.0,24.0,23.0,23.0,22.0,22.0,21.0,21.0,20.0,23.0,34.0,22.0,18.0
ESP,Spain,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0
SSD,South Sudan,776.0,770.0,755.0,771.0,1216.0,1436.0,1629.0,1662.0,913.0,745.0,729.0,749.0,704.0,692.0
ZAF,South Africa,226.0,202.0,194.0,180.0,162.0,150.0,141.0,134.0,128.0,119.0,118.0,191.0,129.0,118.0
SOM,"Somalia, Fed. Rep.",1062.0,972.0,894.0,855.0,816.0,784.0,754.0,716.0,727.0,656.0,655.0,726.0,622.0,563.0
SLB,Solomon Islands,148.0,147.0,146.0,147.0,147.0,146.0,143.0,140.0,136.0,135.0,131.0,153.0,126.0,123.0
SVN,Slovenia,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,12.0,8.0,15.0,3.0
SVK,Slovak Republic,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,12.0,5.0,4.0
SXM,Sint Maarten (Dutch part),,,,,,,,,,,,,,
SGP,Singapore,10.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,13.0,20.0,34.0,6.0
SLE,Sierra Leone,1018.0,967.0,915.0,842.0,821.0,730.0,633.0,578.0,491.0,464.0,422.0,403.0,370.0,354.0
SYC,Seychelles,50.0,50.0,49.0,48.0,46.0,46.0,47.0,47.0,49.0,48.0,51.0,74.0,89.0,42.0
SRB,Serbia,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,16.0,26.0,14.0,11.0
SEN,Senegal,436.0,415.0,405.0,385.0,373.0,357.0,345.0,325.0,305.0,286.0,252.0,263.0,228.0,237.0
SAU,Saudi Arabia,11.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,11.0,12.0,9.0,7.0
STP,Sao Tome and Principe,170.0,164.0,158.0,150.0,138.0,128.0,119.0,110.0,100.0,95.0,92.0,98.0,82.0,75.0
SMR,San Marino,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,46.0,35.0,22.0,8.0
WSM,Samoa,92.0,93.0,101.0,100.0,106.0,108.0,108.0,111.0,110.0,111.0,114.0,115.0,110.0,101.0
RWA,Rwanda,393.0,358.0,331.0,317.0,301.0,292.0,278.0,275.0,269.0,261.0,252.0,254.0,234.0,229.0
RUS,Russian Federation,23.0,19.0,18.0,16.0,16.0,15.0,14.0,12.0,12.0,12.0,19.0,21.0,13.0,9.0
ROU,Romania,23.0,20.0,19.0,18.0,18.0,18.0,17.0,17.0,15.0,14.0,16.0,20.0,13.0,12.0
QAT,Qatar,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,8.0,4.0
PRI,Puerto Rico (US),18.0,17.0,17.0,16.0,16.0,15.0,15.0,17.0,14.0,13.0,11.0,50.0,55.0,11.0
PRT,Portugal,10.0,10.0,10.0,10.0,11.0,11.0,12.0,13.0,14.0,15.0,14.0,19.0,16.0,15.0
POL,Poland,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
PHL,Philippines,117.0,115.0,110.0,110.0,106.0,104.0,98.0,86.0,92.0,92.0,88.0,153.0,92.0,84.0
PER,Peru,86.0,83.0,79.0,75.0,73.0,71.0,69.0,67.0,66.0,60.0,75.0,141.0,81.0,51.0
PRY,Paraguay,136.0,120.0,100.0,84.0,70.0,64.0,60.0,58.0,58.0,58.0,69.0,140.0,78.0,58.0
PNG,Papua New Guinea,289.0,271.0,257.0,243.0,232.0,221.0,214.0,207.0,205.0,199.0,194.0,223.0,189.0,189.0
