economy,Country,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ZWE,Zimbabwe,0.121,0.078,0.077,0.08,0.119,0.174,0.172,0.179,0.201,0.123,0.128,0.136,0.127,0.136
ZMB,Zambia,0.06,,,,,,0.09,,0.224,0.237,0.253,0.295,0.324,
YEM,"Yemen, Rep.",,,,,0.27,,,,,,0.176,0.174,0.165,0.098
PSE,West Bank and Gaza,,,,,,,,1.774,2.168,,,,,
VIR,Virgin Islands (U.S.),,,,,,,,,,,,,,
VNM,Viet Nam,0.714,,0.824,,0.783,0.795,0.825,,0.881,0.99,0.856,1.107,,
VEN,"Venezuela, RB",,,,,,,,1.664,,,,,,
VUT,Vanuatu,,,0.185,,,,0.169,,0.137,0.164,,,,
UZB,Uzbekistan,2.555,2.517,2.461,2.421,2.39,2.363,2.298,2.27,2.329,2.322,2.31,2.805,,
URY,Uruguay,,,,,,,4.008,5.01,,,,4.548,4.674,
USA,United States,,,,,,,,,2.548,3.482,3.518,3.575,3.681,
GBR,United Kingdom,2.645,2.682,2.69,2.702,2.738,2.767,2.773,2.802,2.828,2.932,3.028,3.16,3.143,3.301
ARE,United Arab Emirates,1.749,1.786,1.801,2.045,2.232,2.361,2.458,2.502,2.605,2.71,2.83,2.786,2.915,2.992
UKR,Ukraine,3.433,3.432,3.434,3.433,2.936,,,,,,,,,3.531
UGA,Uganda,,,0.098,,,0.097,,0.172,,,0.158,,0.191,
TUV,Tuvalu,,,,,0.909,,,,,,1.346,,,
TCA,Turks and Caicos Islands,,,,,,,,,,,,,,
TKM,Turkmenistan,2.079,2.079,2.029,1.999,2.002,1.974,1.959,1.969,1.971,1.957,1.96,1.917,1.916,1.93
TUR,Turkiye,1.683,1.698,1.726,1.751,1.738,1.765,1.774,1.805,1.814,1.884,1.989,2.118,2.236,
TUN,Tunisia,1.207,,,,1.253,1.285,1.258,1.278,,1.299,1.315,1.315,,
TTO,Trinidad and Tobago,1.732,1.743,,,,2.541,,3.222,3.939,4.205,4.298,4.157,,
TON,Tonga,0.54,,,0.514,,,,,,1.012,0.946,1.014,,
TGO,Togo,0.0506,,,,,0.047,0.044,0.072,0.074,0.074,0.079,0.057,0.08,
TLS,Timor-Leste,0.079,0.078,,0.615,0.678,0.69,,0.745,0.718,0.764,0.752,,,
THA,Thailand,0.383,,,,,0.453,0.433,0.788,0.518,0.548,0.509,0.541,,
TZA,Tanzania,,,0.031,,0.06,,,,0.05,,,,0.134,
TJK,Tajikistan,1.67,1.693,1.697,1.677,1.727,1.747,1.754,1.785,1.934,1.933,1.995,1.949,1.939,1.87
SYR,Syrian Arab Republic,1.388,,,,1.432,,1.172,1.468,1.5,1.517,1.5,1.521,,
CHE,Switzerland,3.808,3.832,3.915,4.039,4.125,4.196,4.25,4.297,4.338,4.349,4.388,4.435,4.477,
SWE,Sweden,3.808,3.888,3.967,4.043,4.109,4.174,4.233,4.269,4.322,4.288,4.322,4.408,,
SUR,Suriname,,,,,,1.006,1.087,1.139,0.787,,,1.466,,1.355
SDN,Sudan,,,,,,0.396,,0.25,,,,,,
VCT,St. Vincent and the Grenadines,0.655,,0.938,,,,,,,,,,,
MAF,St. Martin (French part),,,,,,,,,,,,,,
LCA,St. Lucia,1.679,1.845,2.19,2.497,1.901,,5.672,6.245,6.367,6.168,4.234,,,
KNA,St. Kitts and Nevis,,,,,,2.909,,,3.085,,,,,
LKA,Sri Lanka,0.703,0.718,0.742,0.772,0.807,0.83,0.856,0.887,0.958,1.098,1.167,1.144,,1.136
ESP,Spain,3.737,3.814,3.804,3.791,3.781,3.826,3.803,3.854,3.996,4.376,4.546,4.457,4.294,
SSD,South Sudan,,,,,,,,,0.041,0.033,0.043,,0.041,
