economy,Country,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ZWE,Zimbabwe,,,86.9817036365321,87.0673363085034,86.056353204213,89.236268331531,88.9178597430998,87.9318891782794,87.8698591326578,86.8337629717761,88.343367374493,83.0338861778956,83.1984085838883,85.2029321232507
ZMB,Zambia,98.6889442874386,88.3177251637012,89.4070043100488,81.8270884471825,,,,,,,,,,
YEM,"Yemen, Rep.",56.5399703979492,,59.3262481689453,59.1532592773438,,,60.1439094543457,,,,,,,
PSE,West Bank and Gaza,98.3999848159888,93.933586961627,92.800622648852,95.6305284332547,98.3474423631124,97.3609635139922,96.0882674240769,99.8634104171169,96.5742895304979,95.1031699169302,98.2745744181212,94.2000710812671,93.7663564717263,91.1695163220973
VIR,Virgin Islands (U.S.),,,,,,,,,,,,,,
VNM,Viet Nam,,96.4903182983398,99.7439270019531,98.568433005299,97.5535949505463,97.3375088531888,99.9538673376531,,101.705109319402,,,,100.779516746248,
VEN,"Venezuela, RB",91.5389022827148,92.9394989013672,95.0975189208984,94.173828125,95.1124725341797,94.3086471557617,92.3337783813477,88.6861877441406,,,,,102.55387878418,102.23681640625
VUT,Vanuatu,88.8992515169159,,,94.2112900688136,,,,,,104.584039269184,105.772896728876,104.497057831903,115.833673565014,116.128610667961
UZB,Uzbekistan,96.9045296680751,95.0117221813923,95.5447516541123,93.4407510297921,96.4235813900343,93.8038855040809,97.4060809237078,98.2879984507765,97.0923046251994,96.6936602667804,98.7280094926043,98.4803577402802,98.2369473396823,96.0921933647617
URY,Uruguay,101.169009063104,100.766145130321,99.7867967654572,100.56447858473,100.99762842751,100.721856543441,102.392839746712,97.1667633056641,101.573882159122,,100.92753603812,100.503541862251,100.222951100821,101.1690082913
USA,United States,,,,,,,,98.8321990966797,100.092697143555,100.489051818848,100.923667907715,101.091278076172,95.743522644043,
GBR,United Kingdom,,,,,,98.9100723266602,98.5750732421875,98.4604187011719,98.5392837524414,100.255142211914,99.5503768920898,99.5570068359375,100.381553649902,101.423362731934
ARE,United Arab Emirates,,,,,,,,,105.077405010456,99.7345915659098,99.8548679378418,97.4315919891101,102.456393452687,99.1737916980463
UKR,Ukraine,100.017585117217,101.307744289769,97.30904649924,98.6247588057599,96.2149407614657,88.5759614227854,86.1604460210992,87.5341732897487,83.9088620532217,89.0534000834376,89.7578046573216,89.2898788802165,,
UGA,Uganda,55.9794387817383,54.3607711791992,55.5063285827637,55.7912902832031,59.4263610839844,,55.0362396240234,53.3121795654297,,,,,,
TUV,Tuvalu,,,,,98.1042709350586,104.73934173584,99.5169067382812,,92.4528274536133,90.1408450704225,108.133971291866,112.376237623762,118.421052631579,106.930693069307
TCA,Turks and Caicos Islands,,,,,75.9414225941423,71.3362068965517,,,153.765686035156,,,113.026817321777,111.400001525879,
TKM,Turkmenistan,,,,,,,,,,,,100.422498382946,97.3621559226879,97.7541266259286
TUR,Turkiye,,,,103.343299865723,99.0791091918945,98.8300704956055,134.545608520508,92.5956573486328,91.0360870361328,96.6259918212891,100.577331542969,103.435623168945,101.500511169434,
TUN,Tunisia,97.3313369750977,,,93.5545196533203,96.1503295898438,98.2824172973633,93.2920303344727,89.4080505371094,,,95.8377227783203,93.6258392333984,,
TTO,Trinidad and Tobago,88.7282104492188,,,,,,,,,,,,,91.5974807739258
TON,Tonga,,,105.914429530201,118.189438390612,,,,,,,101.147227533461,99.064371257485,101.465738365702,102.558139534884
TGO,Togo,68.0704185431298,69.7415237140377,73.2405916294769,76.7207985267205,83.0191862165141,,92.9958056836299,90.8908436459446,87.8468202323446,84.3248682319118,84.5138601764403,85.5383633896721,85.7062307406517,87.3158245775118
TLS,Timor-Leste,75.2202946440865,81.4195236128322,85.7176250584385,91.2865497076023,96.2563938618926,101.275182504621,97.3353459429487,96.6891288962737,100.182736085731,101.973167436453,100.108904548366,101.045730208163,86.5451764158159,93.210472040185
THA,Thailand,,,,,,,,96.5465393066406,97.2662200927734,99.0766391982771,100.602278927941,101.046773083353,104.886385919859,102.096899824548
TZA,Tanzania,84.7566249901706,81.2205565921065,78.2992447768831,74.193210569528,,64.0960613008478,61.0601160776836,67.2734642386931,67.5348797150181,64.7094759010993,68.4711470524733,74.4260315082726,,89.3124694824219
TJK,Tajikistan,100.112632751465,104.462921142578,94.8181762695312,,92.0723190307617,92.256950378418,90.9021911621094,91.5831604003906,,,,,,
SYR,Syrian Arab Republic,103.362800598145,104.248580932617,105.759872436523,63.4530487060547,,,,,,,56.838550567627,56.2788696289062,57.7594413757324,60.1276588439941
CHE,Switzerland,97.018913269043,96.6746292114258,96.8369369506836,94.0501098632812,96.4781188964844,96.6313629150391,94.9024276733398,95.3591537475586,94.4237213134766,93.5932235717773,94.2758178710938,95.4812088012695,95.063606262207,96.9121017456055
SWE,Sweden,99.0018692016602,97.7918167114258,99.2811508178711,99.4616165161133,99.2604522705078,99.3150405883789,99.6898574829102,100.069061279297,99.8755111694336,98.9591598510742,99.6735229492188,99.819221496582,99.8903274536133,99.6335906982422
SUR,Suriname,79.9731216430664,77.8148574829102,77.3334503173828,76.7774963378906,80.8827362060547,83.425163269043,83.3164901733398,81.063117980957,79.9963531494141,82.9409634190511,86.4046973803071,75.2395629882812,,
SDN,Sudan,57.8696594238281,,53.8266105651855,54.0575103759766,54.0362892150879,55.0168800354004,55.3826217651367,56.8698196411133,58.9140090942383,60.1234397888184,,,,
VCT,St. Vincent and the Grenadines,97.2304611206055,88.7240371704102,100.824317932129,110.363250732422,105.842697143555,107.632682800293,111.867576599121,104.52229309082,116.083923339844,,,,,109.648559570312
MAF,St. Martin (French part),,,,,,,,,,,,,,
LCA,St. Lucia,93.4306564331055,95.0116424560547,95.1162033081055,92.7444763183594,97.49169921875,,93.1327209472656,89.0786285400391,90.8720474243164,92.3234024047852,89.5056686401367,,94.7436981201172,91.066276550293
KNA,St. Kitts and Nevis,104.146339416504,109.512199401855,112.73885345459,117.03296661377,111.334289550781,120.089958190918,112.558868408203,112.191358024691,111.492537313433,110.162002945508,111.963190184049,155.272735595703,,124.306688417618
LKA,Sri Lanka,96.0871902701128,98.4259885080696,95.3066194884577,95.4740551572261,94.3789864415135,94.566247939217,96.3326649097638,97.5554388348901,,94.5038795032281,93.5215528356842,96.7416635947447,95.1511571447228,94.542850980354
ESP,Spain,99.1982269287109,96.4892272949219,96.8130035400391,96.5905990600586,96.5192031860352,96.1013488769531,94.7013168334961,96.6760177612305,95.6724014282227,96.6371078491211,96.0053405761719,99.1650314331055,98.4915237426758,99.5605087280273
SSD,South Sudan,,28.6641292572021,,,,,,,,,,,,
ZAF,South Africa,,,,,,91.3366137480997,90.274209979999,,92.4496153244785,93.0121131588576,92.6580245068739,95.2203914213668,97.101965691325,95.3327484577974
SOM,"Somalia, Fed. Rep.",,,,,,,,,,,,,,
SLB,Solomon Islands,86.5969009399414,85.5991012180546,83.7752154475999,83.3728061056414,83.2849706233049,83.8356698312299,83.1120743943867,82.8982050166357,81.4144661102523,79.9952248711152,77.3692121064089,,,66.4970071601133
SVN,Slovenia,97.5875396728516,97.3317794799805,97.185791015625,97.2837677001953,97.4994506835938,98.2454223632812,96.5641937255859,97.4674072265625,97.7957229614258,97.251953125,96.7955780029297,97.1798477172852,97.2507629394531,97.4238586425781
SVK,Slovak Republic,96.4896621704102,98.5253601074219,95.3589324951172,94.7903213500977,93.0049591064453,93.8534393310547,93.7168502807617,94.3130111694336,92.1258010864258,91.5193023681641,96.8190612792969,92.1480178833008,95.2156982421875,100.707176208496
SXM,Sint Maarten (Dutch part),,,95.6521739130435,,128.893442622951,,,,,,,,,
SGP,Singapore,,,,,,,99.7892735075682,99.2582396574138,99.9218336317103,98.0779511104631,101.401398882906,100.557975999389,99.6337388049726,96.8465629805147
SLE,Sierra Leone,,67.8831309986552,63.9115806835227,62.7303754266212,,61.2581856379769,71.2324444444444,71.6892914294423,83.0463618222911,84.7302995056702,88.4087370615114,98.9641255605381,103.134887102796,100.377198108697
SYC,Seychelles,114.988104678826,114.651721377102,107.735247208931,108.96,120.416666666667,123.267750213858,128.523769808174,140.545808966862,128.931364031277,150.456852791878,127.827502034174,156.167176350663,99.8705501618123,94.0462427745665
SRB,Serbia,96.4489288330078,104.127647399902,98.0101623535156,98.9099578857422,101.901260375977,101.010841369629,98.8304824829102,99.0338668823242,98.7212677001953,98.6684494018555,97.9385604858398,98.0667877197266,96.0487213134766,
SEN,Senegal,57.9091230665338,60.6905764122955,60.0716780561883,61.0420420151245,60.4732510288066,58.1250429122667,,,,60.8755832493715,60.3359412043623,63.0956724973326,56.8702747567129,61.5314165000969
SAU,Saudi Arabia,,122.333747126654,128.295324145239,97.6273059693596,,,,101.135118731181,101.822296961428,98.6456357179814,96.9853243228005,96.6447425153456,119.840624867605,
STP,Sao Tome and Principe,82.4500198364258,108.793182373047,,96.0759963989258,87.791633605957,,79.6282196044922,85.1492385864258,,,,,,
SMR,San Marino,,,,,,,,,95.1428571428571,93.9313984168866,96.242774566474,94.0379403794038,93.4285714285714,96.1165048543689
WSM,Samoa,103.529920249343,101.119244351645,100.718176524813,,102.961323796871,106.699808832298,108.842961312279,105.699919811016,107.187304038691,101.708562298512,102.864484550975,99.999995989053,102.664006356676,98.8477625324381
RWA,Rwanda,75.8724467481629,,74.8167686688917,58.8075224064365,64.2972970895872,63.1980644451776,67.7449990888319,76.0721783802394,84.2233360485587,95.977301224131,,95.4018170049936,,59.3042433145261
RUS,Russian Federation,,90.6035107371303,95.7465279088341,94.7592351023246,95.0102648891861,97.3412824891549,94.9354115909758,,99.5994932363399,100.024342021158,,,,
ROU,Romania,96.9467468261719,98.3175582885742,95.2439193725586,,,92.9707489013672,89.260612487793,,87.9936218261719,87.5534973144531,86.7099685668945,88.9321899414062,82.8644332885742,80.9689483642578
QAT,Qatar,,97.8007945516459,,94.7919201752251,89.2091446073069,94.3687080536913,95.5435154000098,99.1126010648787,99.8243281739626,100.507363505747,103.134182174339,91.1789621008434,94.6478447950479,
PRI,Puerto Rico (US),,,,,,88.287467956543,,,79.3783264160156,,,,,70.1681594848633
PRT,Portugal,,,,,,,,,99.4036026000977,101.043006896973,102.321578979492,104.297401428223,100.011848449707,104.516647338867
POL,Poland,97.2561798095703,96.9912872314453,96.8246231079102,96.3275833129883,96.2011032104492,99.4639892578125,100.437339782715,105.238327026367,94.1822814941406,94.6803894042969,,,98.2533493041992,103.98380279541
PHL,Philippines,,,,,91.613168283387,,,102.472218991344,108.332597491727,99.3735347463562,95.457347048022,89.076533199905,86.3317340860138,77.2485372465695
PER,Peru,104.480117797852,102.034370422363,96.6591262817383,99.6093826293945,100.330276489258,102.76261138916,103.398551940918,94.6801528930664,92.8481521606445,94.9881591796875,,,,
PRY,Paraguay,99.700252378179,96.060889304313,95.9523198357184,,,,98.1086017794463,,,,84.7860722939556,,87.148745461088,90.271367469734
PNG,Papua New Guinea,,,,,71.0769949238443,,74.1397660550692,,,,,80.998227804301,,82.7478003932096
PAN,Panama,95.2158521717417,99.3665725019658,101.182405573785,99.7978465641085,96.7291049874744,,,90.2607415227749,,86.7779555118056,87.4795583246611,95.2437175479318,93.0531743816701,93.2789665970772
PLW,Palau,,,,116.071428571429,98.3193277310924,,,,,,,103.31950378418,92.1487603305785,93.8271604938272
