economy,Country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ZWE,Zimbabwe,,,,,,,,,,,27.52175,,26.92639,,26.33104,,25.73569,,25.14033,,24.54498,,23.94962,,23.35427,,22.75892,,22.16356,,21.56821,,54.88268,
ZMB,Zambia,,,,,,,,,,,63.78455,,62.23191,,60.67926,,59.12662,,57.57398,,56.02134,,54.4687,,52.91605,,51.36341,,49.81077,,48.25813,,48.25813,
YEM,"Yemen, Rep.",,,,,,,,,,,63.81216,,61.19064,,58.56911,,55.94758,,53.32605,,50.70453,,48.083,,45.46147,,44.2,,44.2,,44.2,,44.2,
PSE,West Bank and Gaza,,,,,,,,,,,,,30.0,,30.0,,29.07112,,27.16442,,25.25772,,23.35102,,21.44433,,19.53763,,19.5,,19.5,,,
VIR,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09573,
VNM,Viet Nam,,,,,,,,,,,45.31667,,40.37283,,35.429,,30.48516,,25.54133,,20.59749,,15.65365,,10.70982,,5.76598,,5.76598,,5.76598,,32.5,
VEN,"Venezuela, RB",,,,,,,,,,,27.82014,,26.40689,,25.7,,25.7,,,,,,,,,,,,,,,,25.7,
VUT,Vanuatu,,,,,,,,,,,4.55,,4.55,,4.55,,4.45,,4.35,,4.25,,4.15,,4.0,,4.1,,4.15,,4.15,,3.064,
UZB,Uzbekistan,,,,,,,,,,,29.45579,,26.73127,,23.97195,,21.18651,,18.41311,,15.62992,,12.83512,,10.05116,,7.29256,,5.35972,,4.52719,,7.1,
URY,Uruguay,,,,,,,,,,,23.7,,23.7,,23.67571,,19.95,,16.22429,,12.49857,,8.77286,,5.04714,,1.3,,1.3,,1.3,,1.3,
USA,United States,,,,,,,,,,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.15,,0.15,,0.09318,
GBR,United Kingdom,,,,,,,,,,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1625,
